N,nthread,average_elapsed_time
20,1,9.67026e-05
20,2,0.000113273
20,4,0.000136495
20,8,0.000178003
20,16,0.000246501
20,32,0.0003654
20,64,0.000684595
20,128,0.00134921
100,1,0.0101522
100,2,0.0101585
100,4,0.0100605
100,8,0.0100685
100,16,0.0101754
100,32,0.0107444
100,64,0.0106209
100,128,0.0111885
1000,1,11.532
1000,2,11.3816
1000,4,11.2267
1000,8,11.383
1000,16,11.5559
1000,32,11.5851
1000,64,13.8425
1000,128,11.4632
