n_processors,N,nthread,average_elapsed_time
1,2000,1,30.2858
1,2000,2,15.1237
1,2000,4,7.54581
1,2000,8,3.77811
1,2000,16,1.8982
1,2000,32,0.979112
1,2000,64,0.582755
1,2000,128,0.614112
2,2000,1,15.0777
2,2000,2,7.55157
2,2000,4,3.77916
2,2000,8,1.89235
2,2000,16,0.993927
2,2000,32,0.655822
2,2000,64,0.636012
2,2000,128,0.622678
4,2000,1,7.55071
4,2000,2,3.77773
4,2000,4,1.8998
4,2000,8,0.966081
4,2000,16,0.525463
4,2000,32,0.419759
4,2000,64,0.334372
4,2000,128,0.316237
