n_processors,N,nthread,average_elapsed_time
1,2000,1,30.2571
1,2000,2,15.1581
1,2000,4,7.56762
1,2000,8,3.78377
1,2000,16,1.89554
1,2000,32,1.03645
1,2000,64,0.583017
1,2000,128,0.65407
2,2000,1,15.2027
2,2000,2,7.54931
2,2000,4,3.78691
2,2000,8,1.90557
2,2000,16,0.995647
2,2000,32,0.801658
2,2000,64,0.630165
2,2000,128,0.60104
4,2000,1,7.56801
4,2000,2,3.77434
4,2000,4,1.89737
4,2000,8,0.966511
4,2000,16,0.515286
4,2000,32,0.427355
4,2000,64,0.337972
4,2000,128,0.319784
